timestamp,author,message
0:00:00,@tearuxous6590,I’m ready 
0:00:01,@BloxerXD,RAHHHHH
0:00:01,@danitafoster2341,YES!!
0:00:03,@mlpfimguy,HYP
0:00:03,@skyberry_axx,TPOT AND TAMERS FANNS ASSEMBLE
0:00:04,@springystarscout,CUTE MARE
0:00:04,@jo3a548,nuggies
0:00:04,@mangofoalix,SHE IS CUTE
0:00:04,@XxZ0MB1E_K1TTYxX,YEAHHHHHH
0:00:05,@Hyloaf,CUTE
0:00:05,@blackFlawlessHooveLicker,peak starting
0:00:05,@mangofoalix,AAAAAAAAA
0:00:06,@NubMcMoofin,:racehorse::racehorse::horse::racehorse::horse::racehorse::horse::racehorse::racehorse:
0:00:06,@mangofoalix,I LOVE HER
0:00:07,@elskywardgonz9929,CUTE 
0:00:08,@nathanbarlow6131,5
0:00:08,@hollywareham6810,yay
0:00:08,@XxZ0MB1E_K1TTYxX,AWWWWWWW
0:00:09,@Ghio10,nuggies
0:00:09,@thelizardqueen9541,OMFG
0:00:09,@mangofoalix,HELP 
0:00:09,@S0m3th1ngBLUE,I LOVE YOU TAMERSS
0:00:09,@nathanbarlow6131,4
0:00:09,@reinesamazingandoriginalhandle,lol
0:00:09,@applebloom2307,NEED TO DRAW
0:00:10,@mrfralper4264,yayayayayay
0:00:10,@Starfluff8,Hi
0:00:10,@nathanbarlow6131,3
0:00:12,@hollywareham6810,peakkkkk
0:00:12,@TheMTwinny,LMAO
0:00:12,@agoatheadbaby3512,Are the Japanese and Chinese good friends?
0:00:13,@nathanbarlow6131,1
0:00:14,@skyberry_axx,bye in full screen
0:00:14,@va_fail,holy shit chrysalis is streamer 
0:00:15,@applebloom2307,CHRISSY
0:00:15,@S-skipidi,ITD STARTING!!
0:00:16,@TheMTwinny,WHAT A REFERENCE
0:00:16,@mangofoalix,SHE IS LIVESTREAMING HAHAHA
0:00:18,@ChilledSmoothie,LOL
0:00:18,@NubMcMoofin,:exploding_head:
0:00:18,@d4ybreak3r,OMG
0:00:19,@Molly-w4n,hello
0:00:19,@turntwolfo7956,oh shut
0:00:19,@ptkebr,CHRYSSI
0:00:19,@hollywareham6810,lol
0:00:19,@jo3a548,OH GFUCK
0:00:21,@falnazor0001,Here we go!!!
0:00:21,@Grue3,lol
0:00:21,@lordofshrimps,Dont watch that
0:00:21,@springystarscout,LMAO
0:00:22,@KohJhonesItula,LMAO
0:00:22,@pinkpupbutt9299,LMFAO
0:00:24,@dookyking4lyfe,FBI
0:00:24,@TheTantabus.,Watching on the treadmill hope I don’t piss myself in public
0:00:25,@superarcade643,ROBLOX????
0:00:26,@freshglizzy3763,LMAO
0:00:26,@applebloom2307,PO
0:00:26,@agoatheadbaby3512,OH-NOOOOOOOOOOOO
0:00:27,@applebloom2307,RN
0:00:27,@mangofoalix,OH MY GOD
0:00:27,@Seyoki,HOLY REFRENCE
0:00:27,@JoshThePinkGump,LMAO
0:00:27,@lordofshrimps,LOLLLLLLLLLL
0:00:27,@va_fail,cute wallpaper 
0:00:28,@XxZ0MB1E_K1TTYxX,OH MY GOD
0:00:28,@moriorinvictus69,LOL
0:00:28,@NubMcMoofin,:exploding_head::exploding_head::exploding_head:
0:00:29,@mangofoalix,THE REFERENCE
0:00:29,@haileykitty6993,oh my god!
0:00:29,@TheKalimanMX,lacari
0:00:30,@jo3a548,LSADMASDFOSADASLFDAO
0:00:30,@firewolf595,REFERENCE ALREADY
0:00:30,@SaitoBenkei,:skull:
0:00:30,@mangofoalix,HELP ME
0:00:30,@BigSpurtinGurt,How do you make these so fast lol 
0:00:30,@Skidum1,LMAOOOO
0:00:31,@ptkebr,THAT WAS FAST
0:00:31,@viogieviogie,Don’t forget to like the video guys!!! :party_popper:
0:00:31,@TheMTwinny,TAMERS IS ONT HE PULSE
0:00:32,@delta-v4x,CHRYSALIS SITUATION IS CRAAAAZY
0:00:32,@asimpleuser8570,"Damn, love the reference"
0:00:33,@gummy8440,HES THE SOUTH PARK OF YOUTUBE
0:00:33,@mangofoalix,I AM CRYING
0:00:34,@Aromaticgrassitem,"iT WAS A VIRUS, MOM"
0:00:35,@senorapples1115,OMFG TAMERS
0:00:35,@TierAnon,>Windows 11
0:00:35,@LightTim,lol
0:00:35,@MyriadSkyFlaming,OMG!
0:00:36,@thelizardqueen9541,LMAOOOOO
0:00:36,@danitafoster2341,HELP WHAT ABOUT TO MY BABY
0:00:37,@mangofoalix,TAMER YOU MADLAD
0:00:38,@LUNN4T1C,roblock
0:00:38,@XxZ0MB1E_K1TTYxX,NO WAY
0:00:38,@Iplyaz-POOPY,WHY
0:00:39,@quxoticnirvana1110,LMAO
0:00:39,@superarcade643,NOOOOOOOOO
0:00:40,@springystarscout,Cold advisory in effect 
0:00:42,@pinkpupbutt9299,LMAAAAAAOOOOOOOOOO
0:00:42,@mangofoalix,LOOOOOOL
0:00:44,@XxZ0MB1E_K1TTYxX,OH MY
0:00:44,@applebloom2307,Tamers nooo
0:00:44,@fluttergabe22,Chrysalis trying to be like IShowSpeed
0:00:46,@agoatheadbaby3512,CHRYSALIS NOOOOOOOOOOOOOOOOOO
0:00:46,@JoshThePinkGump,3 TB????
0:00:47,@june-c1p,lacari
0:00:48,@superarcade643,WHAT
0:00:48,@Electricstumble_YT,YOOO
0:00:48,@drunkserval,I'M DYING HOLY SHIT
0:00:49,@lordofshrimps,LOLLLLLLLLLLLLLLLLL
0:00:49,@mangofoalix,I'M CREASING
0:00:49,@elskywardgonz9929,VAUSH MOMENT?
0:00:50,@hollywareham6810,the background
0:00:50,@Starfluff8,Windows 11 sucks
0:00:51,@SerenityEvans-i6g,lol
0:00:51,@basedimperialism,Nahhh she got a virus
0:00:52,@TheMTwinny,A MASTERCLASS REFERENCE HOLY CRAP
0:00:52,@springystarscout,BYE
0:00:52,@shrimpkuuu,AWWWWW
0:00:52,@Electricstumble_YT,WHATS SUP GUYS
0:00:52,@superarcade643,3 TB
0:00:53,@mixedawesomesauce8354,uh
0:00:54,@XxZ0MB1E_K1TTYxX,3???
0:00:55,@skyberry_axx,WHAT GURLL
0:00:56,@Skychaser-7,crazy talk
0:00:56,@NubMcMoofin,:pensive_face:
0:00:56,@danitafoster2341,3 B OML
0:00:56,@haileykitty6993,this is seriously awesome as hell!
0:00:57,@delta-v4x,Chrysalis is black
0:00:58,@mangofoalix,HAHAHAHAHAHA
0:00:58,@hobomeatballthemovies323,"Well, then. "
0:00:58,@clunker6712,3tb is crazy 
0:00:59,@laeeb,real!
0:00:59,@freshglizzy3763,classic chrissy
0:00:59,@dookyking4lyfe,MODS JUMPING SHIP
0:01:00,@goddog9289,CHRYSSYYYYYYYYYYYYYYYYY
0:01:01,@Ace4573,THAT'S WHAT HAPPENS MAN
0:01:01,@chrismaller4534,Me too tf
0:01:01,@fluttergabe22,IShowChrysalis
0:01:01,@hollywareham6810,funny
0:01:01,@pinkpupbutt9299,ITS JUST WHAT HAPPENED MAN
0:01:01,@AnimeGames16,LOL LACARI
0:01:02,@Molly-w4n,:smiling_face_with_tear:
0:01:02,@Febradiini,Christy you HAVE WHAT
0:01:03,@agoatheadbaby3512,BAHAHAHAHAHAHA
0:01:04,@Skychaser-7,no tf she ain’t 
0:01:05,@Electricstumble_YT,I don't think that was happening
0:01:06,@gulpingulpin3910,instant lacari
0:01:06,@applebloom2307,relateable relatable relate relate rekate
0:01:08,@TheMTwinny,MODS ARE OUT
0:01:08,@firewolf595,she only has roblox
0:01:09,@Aromaticgrassitem,chrysalis is a good opener
0:01:09,@JoshThePinkGump,YURI
0:01:10,@somost6226,Chrysalis addressing the allegations like it's 2019
0:01:11,@serkandevel7828,GhostBSD stays winning
0:01:11,@Tamers12345MLP,it's okay she'll only get banned for a week
0:01:12,@va_fail,i see roblox
0:01:12,@mangofoalix,DAMN
0:01:12,@Elendil404,uh
0:01:13,@slitherwing30,What reference I’m not in the loop
0:01:14,@mangofoalix,THE PUNCH
0:01:14,@asimpleuser8570,She has Roblox
0:01:17,@CatzBell,ot3
0:01:18,@Iplyaz-POOPY,Her bg-
0:01:19,@BigSpurtinGurt,Lacari reference already lol
0:01:19,@misakayy1911,OH
0:01:20,@jo3a548,OOOOOOOOOO
0:01:20,@MyriadSkyFlaming,LACARI!
0:01:20,@danitafoster2341,DANG
0:01:21,@springystarscout,Mmm burger 
0:01:21,@mlpfimguy,OWH
0:01:21,@moriorinvictus69,TRUE
0:01:21,@shrimpkuuu,OMG
0:01:21,@XxZ0MB1E_K1TTYxX,A WEEK???
0:01:21,@Gem145Producciones,typical lesbian couple shenanigans
0:01:23,@mangofoalix,WHY DID YOU HIT HER?
0:01:23,@drunkserval,DAMN
0:01:23,@ptkebr,OH
0:01:24,@polofastter,lol
0:01:25,@Sweetie-r9p9r,toxic yuri
0:01:26,@scarlethorse5391,I LOVE her so much! :red_heart:
0:01:27,@UngulaPropriaRQ,awwwwww
0:01:28,@SerenityEvans-i6g,oooooo
0:01:28,@pinkpupbutt9299,damn.......
0:01:28,@TheMTwinny,@Tamers12345MLP That's Twitch for you!
0:01:29,@superarcade643,2 JOBS
0:01:29,@XxZ0MB1E_K1TTYxX,YURI
0:01:29,@mangofoalix,FWALESS :D
0:01:29,@jo3a548,cute
0:01:30,@Grue3,domestic violence
0:01:30,@EvolutionCOV,Two???
0:01:30,@va_fail,oh no don't hit her
0:01:30,@delta-v4x,Chrysalis streams on kick now
0:01:30,@UltimateStarky,good lord
0:01:30,@mateoponey5537,cute
0:01:31,@GlimmyGOD,lol trixie is poor
0:01:33,@mangofoalix,and the poop
0:01:33,@Molly-w4n,dang
0:01:35,@ptkebr,mmmhmmmm
0:01:35,@Hyloaf,chubby
0:01:35,@shrimpkuuu,Oh she’s so cute here
0:01:36,@Iplyaz-POOPY,Ye don’t care
0:01:37,@danitafoster2341,gay is crazy
0:01:38,@ptkebr,gayyyy
0:01:40,@UngulaPropriaRQ,OH NO SHES STRUGGLING WITH DA JUICE BO
0:01:40,@jo3a548,applem juice
0:01:41,@UngulaPropriaRQ,X
0:01:42,@mangofoalix,SHE IS YELLOW?
0:01:42,@JoshThePinkGump,SHE'S CHINESE
0:01:44,@superarcade643,JAPAN
0:01:44,@skyberry_axx,what is her user
0:01:45,@thelizardqueen9541,yellow pony
0:01:46,@Skychaser-7,Crazy talk
0:01:47,@jo3a548,CHINA
0:01:48,@dookyking4lyfe,confirmed
0:01:50,@springystarscout,LOL
0:01:51,@agoatheadbaby3512,FLUTTERSHY
0:01:51,@NubMcMoofin,:saluting_face:
0:01:51,@TheKalimanMX,place japan
0:01:52,@galaxyofeq,Trixie horn was gone for bit
0:01:52,@shrimpkuuu,Bro
0:01:52,@turntwolfo7956,yum
0:01:52,@lordofshrimps,She's just yellow
0:01:52,@XxZ0MB1E_K1TTYxX,OMGGGG
0:01:53,@neargaming2057,OLD FLUTTERSHY VOICE LETS GO
0:01:53,@mangofoalix,YOU ARE NOT CHINESE
0:01:54,@UngulaPropriaRQ,ORANGE CHICKEN LETS GO!!!
0:01:54,@TheMTwinny,I never had Panda Express :(
0:01:55,@LightTim,SHE'S CHINESE AGAIN
0:01:55,@mlpfimguy,KEK
0:01:56,@delta-v4x,Why the fuck Chinese Fluttershy is in Japan?
0:01:56,@va_fail,chinese fluttershy return
0:01:57,@ptkebr,YESS HER VOICE IS BACK
0:02:00,@applebloom2307,SHE IS CHINEEESE
0:02:00,@basedimperialism,FRUTTASHAI
0:02:00,@elskywardgonz9929,you're not chinese flutter shy... 
0:02:01,@CUP1DL0V3LY,live laugh meow?
0:02:02,@freshglizzy3763,traditional chinese cuisine!!
0:02:02,@BigSpurtinGurt,WE ARE ALL CHINESE
0:02:03,@CatzBell,Orange chicken is good
0:02:03,@Febradiini,OMG FLUTTERSHY IS CHINESE
0:02:03,@Burnt_Coff3,:loudly_crying_face::loudly_crying_face:
0:02:03,@Skychaser-7,Lmao
0:02:04,@XxZ0MB1E_K1TTYxX,YESSSSSS
0:02:07,@XxZ0MB1E_K1TTYxX,YESSSSSS
0:02:07,@Skychaser-7,Lol
0:02:09,@shrimpkuuu,:loudly_crying_face::loudly_crying_face::loudly_crying_face:
0:02:10,@mangofoalix,LMFAOOO
0:02:10,@falnazor0001,Her old voice is back!
0:02:11,@scarlethorse5391,It doesn't???
0:02:12,@Tamers12345MLP,Damn those Flutterboobies tho
0:02:12,@pinkpupbutt9299,LMFAO
0:02:12,@hoelt1,it says 100% horse
0:02:12,@mangofoalix,SHE DID THAT
0:02:14,@PoppinCornBaby,Not 
0:02:15,@mlpfimguy,AAA
0:02:15,@Iplyaz-POOPY,LOL
0:02:15,@dookyking4lyfe,:eyes:
0:02:15,@agoatheadbaby3512,"Damn, okay."
0:02:16,@mangofoalix,WOAH!
0:02:16,@EvolutionCOV,This completely canon
0:02:16,@superarcade643,OH HELL NAH
0:02:19,@mangofoalix,fwaless :D
0:02:19,@JR3Ramirez-f8g,hot pot video
0:02:19,@PoppinCornBaby,Not again
0:02:23,@Grue3,equestria girls mentioned
0:02:23,@lordofshrimps,Yay
0:02:23,@ChilledSmoothie,insane callback
